EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
267695,COASTAL MIAMI-DADE COUNTY (ZONE), ,12/14/2010,600,Frost/Freeze, , ,0,0,0,0,FL,EST-5, ,46176,Z,173,MFL,0,0,Mesonet, , , , , , , , ,12/15/2010,700, , , , ,"Temperatures fell into the low 30s to the upper 30s across the coastal sections of Miami-Dade County during the morning of the 14th, and a low temperature of 32 was reported in Leisure City. Temperatures were similar on the morning of the 15th with 32 reported in Palmetto Bay. Frost was also reported around the Homestead area.","The second of three intrusions of modified arctic air into South Florida during December occurred from the 13th through the 16th with the coldest mornings occurring on the 14th and 15th. Average temperatures during the period of 20 degrees or more below normal occurred along with a widespread freeze. This event was the coldest for mid December in nearly 50 years, colder than the early December event, and significant crop damage occurred once again with citrus, snap beans, sweet corn, squash, tomatoes, peppers, radishes, strawberries, watercress, sugar cane, and zucchini being affected.||A total of crop damage for the three December freeze events will be included in the event narratives for the late December freeze.",11
267834,INLAND MIAMI-DADE (ZONE), ,12/28/2010,400,Frost/Freeze, , ,0,0,0,2450000,FL,EST-5, ,46192,Z,73,MFL,0,0,Mesonet, , , , , , , , ,12/28/2010,700, , , , ,"Temperatures fell into the 30s across Miami-Dade County during the morning of the 28thth with the coldest temperatures occurring across the western suburbs and the inland sections. Frost also occurred across much of the county.  Some of the lowest temperatures reported were: 31 in the Redland and at Homestead General Aviation and 32 at Tamiami Airport, Everglades National Park, and in Doral. Crop damage was again reported in the Homestead, Florida City, and Redland areas.||Crop damage amount estimate of $2.45 million is for all of Miami-Dade County, and represents the combined total of all three December freeze events.","The third intrusion of modified arctic air into South Florida occurred from December 26th through the 29th with the coldest mornings occurring on the 27th and 28th. The duration of the third event was slightly shorter than the previous event, however temperatures where about the same. This event also ensured that the average temperature for December would remain well below average keeping the area on pace to reach the coldest December in recorded history for the region. Across northern and interior sections of the CWA crops that were already suffering from the previous two events were practically finished off.||Crop damage amounts for the three December freezes are included in the event summaries for this episode.",12
267833,METROPOLITAN MIAMI-DADE (ZONE), ,12/28/2010,500,Frost/Freeze, , ,0,0,0,0,FL,EST-5, ,46192,Z,74,MFL,0,0,Mesonet, , , , , , , , ,12/28/2010,700, , , , ,"Temperatures fell into the 30s across Miami-Dade County during the morning of the 28thth with the coldest temperatures occurring across the western suburbs and the inland sections. Frost also occurred across much of the county.  Some of the lowest temperatures reported were: 31 in the Redland and at Homestead General Aviation and 32 at Tamiami Airport, Everglades National Park, and in Doral. Crop damage was again reported in the Homestead, Florida City, and Redland areas.||Crop damage amount estimate of $2.45 million listed in the Inland Miami-Dade County event summary is for all of Miami-Dade County, and represents the combined total of all three December freeze events.","The third intrusion of modified arctic air into South Florida occurred from December 26th through the 29th with the coldest mornings occurring on the 27th and 28th. The duration of the third event was slightly shorter than the previous event, however temperatures where about the same. This event also ensured that the average temperature for December would remain well below average keeping the area on pace to reach the coldest December in recorded history for the region. Across northern and interior sections of the CWA crops that were already suffering from the previous two events were practically finished off.||Crop damage amounts for the three December freezes are included in the event summaries for this episode.",13
276900,INLAND MIAMI-DADE (ZONE), ,01/01/2011,0,Drought, , ,0,0,0,0,FL,EST-5, ,47525,Z,73,MFL,0,0,Other Federal Agency, , , , , , , , ,01/31/2011,2359, , , , ,"Rainfall totals in January were near to below normal over most of southeast Florida. This resulted in the expansion of severe drought (D2) conditions over all of Palm Beach County and inland sections of Broward and Miami-Dade counties.  Rainfall deficits since October over these areas ranged anywhere from 8 to 11 inches. Most wells across the area were running at around 10 percent of normal water levels. The level of Lake Okeechobee remained steady at about 12.5 feet, which is 2.2 feet below normal. The Keetch-Byram Drought Index (KBDI) was in the 500 to 600 range, which reflects a high fire danger and low soil moisture values.","Continued dry weather in January, coupled with long-term dryness going back to the previous summer, led to the expansion of severe drought conditions over South Florida.",14
286630,COASTAL MIAMI-DADE COUNTY (ZONE), ,02/01/2011,0,Drought, , ,0,0,0,0,FL,EST-5, ,48958,Z,173,MFL,0,0,Other Federal Agency, , , , , , , , ,02/28/2011,2359, , , , ,"February was a very dry month over south Florida as high pressure dominated the region's weather pattern. Monthly rainfall totals were less than 1 inch, except for isolated locations in Palm Beach and Hendry counties where between 1.5 and 2 inches of rain were recorded. Over most of Miami-Dade and Broward counties, February rainfall totals were less than a tenth of an inch. As a result, February 2011 was among the top 10 driest Februaries on record at Miami, Miami Beach, Fort Lauderdale, Naples and Canal Point, the 12th driest at Moore Haven and 15th driest at LaBelle. This led to severe drought conditions over most of South Florida, with extreme drought conditions over portions of the southeast coast.||The level of Lake Okeechobee fell about a half-foot during February, from around 12.5 feet to near 12 feet. Forestry officials reported double the number of wildfires during the winter months of 2010-2011 compared to the previous year. ||The period of October 2010 to February 2011 was the driest on record in the 80-year history of the South Florida Water Management District's records.","Continued dry conditions in February led to the expansion of severe to extreme drought conditions over most of the south Florida peninsula.",15
286638,METROPOLITAN MIAMI-DADE (ZONE), ,02/01/2011,0,Drought, , ,0,0,0,0,FL,EST-5, ,48958,Z,74,MFL,0,0,Other Federal Agency, , , , , , , , ,02/28/2011,2359, , , , ,"February was a very dry month over south Florida as high pressure dominated the region's weather pattern. Monthly rainfall totals were less than 1 inch, except for isolated locations in Palm Beach and Hendry counties where between 1.5 and 2 inches of rain were recorded. Over most of Miami-Dade and Broward counties, February rainfall totals were less than a tenth of an inch. As a result, February 2011 was among the top 10 driest Februaries on record at Miami, Miami Beach, Fort Lauderdale, Naples and Canal Point, the 12th driest at Moore Haven and 15th driest at LaBelle. This led to severe drought conditions over most of South Florida, with extreme drought conditions over portions of the southeast coast.||The level of Lake Okeechobee fell about a half-foot during February, from around 12.5 feet to near 12 feet. Forestry officials reported double the number of wildfires during the winter months of 2010-2011 compared to the previous year. ||The period of October 2010 to February 2011 was the driest on record in the 80-year history of the South Florida Water Management District's records.","Continued dry conditions in February led to the expansion of severe to extreme drought conditions over most of the south Florida peninsula.",16
286634,INLAND MIAMI-DADE (ZONE), ,02/01/2011,0,Drought, , ,0,0,0,0,FL,EST-5, ,48958,Z,73,MFL,0,0,Other Federal Agency, , , , , , , , ,02/28/2011,2359, , , , ,"February was a very dry month over south Florida as high pressure dominated the region's weather pattern. Monthly rainfall totals were less than 1 inch, except for isolated locations in Palm Beach and Hendry counties where between 1.5 and 2 inches of rain were recorded. Over most of Miami-Dade and Broward counties, February rainfall totals were less than a tenth of an inch. As a result, February 2011 was among the top 10 driest Februaries on record at Miami, Miami Beach, Fort Lauderdale, Naples and Canal Point, the 12th driest at Moore Haven and 15th driest at LaBelle. This led to severe drought conditions over most of South Florida, with extreme drought conditions over portions of the southeast coast.||The level of Lake Okeechobee fell about a half-foot during February, from around 12.5 feet to near 12 feet. Forestry officials reported double the number of wildfires during the winter months of 2010-2011 compared to the previous year. ||The period of October 2010 to February 2011 was the driest on record in the 80-year history of the South Florida Water Management District's records.","Continued dry conditions in February led to the expansion of severe to extreme drought conditions over most of the south Florida peninsula.",17
293249,INLAND MIAMI-DADE (ZONE), ,03/01/2011,0,Drought, , ,0,0,0,0,FL,EST-5, ,49890,Z,73,MFL,0,0,Other Federal Agency, , , , , , , , ,03/31/2011,2359, , , , ,"March rainfall totals were anywhere from 1 to 3 inches below normal across South Florida. This led to a decrease in soil moisture and underground water levels, with most areas at only 10 to 30 percent of water levels. The level of Lake Okeechobee decreased from 12.15 feet at the beginning of March to 11.66 feet by the end of the month, about 2.5 to 3 feet below normal. Fire danger levels remained high across all of South Florida, with forestry officials reporting a near doubling of wildfires in a 4-month period ending in March compared to a similar period last year.","Drier than normal conditions persisted over South Florida in March as seasonal high pressure dominated the region. A few cold fronts brought periods of heavy rain and severe weather, but these were the exception rather than the rule.",18
293251,COASTAL MIAMI-DADE COUNTY (ZONE), ,03/01/2011,0,Drought, , ,0,0,0,0,FL,EST-5, ,49890,Z,173,MFL,0,0,Other Federal Agency, , , , , , , , ,03/31/2011,2359, , , , ,"March rainfall totals were anywhere from 1 to 3 inches below normal across South Florida. This led to a decrease in soil moisture and underground water levels, with most areas at only 10 to 30 percent of water levels. The level of Lake Okeechobee decreased from 12.15 feet at the beginning of March to 11.66 feet by the end of the month, about 2.5 to 3 feet below normal. Fire danger levels remained high across all of South Florida, with forestry officials reporting a near doubling of wildfires in a 4-month period ending in March compared to a similar period last year.","Drier than normal conditions persisted over South Florida in March as seasonal high pressure dominated the region. A few cold fronts brought periods of heavy rain and severe weather, but these were the exception rather than the rule.",19
293250,METROPOLITAN MIAMI-DADE (ZONE), ,03/01/2011,0,Drought, , ,0,0,0,0,FL,EST-5, ,49890,Z,74,MFL,0,0,Other Federal Agency, , , , , , , , ,03/31/2011,2359, , , , ,"March rainfall totals were anywhere from 1 to 3 inches below normal across South Florida. This led to a decrease in soil moisture and underground water levels, with most areas at only 10 to 30 percent of water levels. The level of Lake Okeechobee decreased from 12.15 feet at the beginning of March to 11.66 feet by the end of the month, about 2.5 to 3 feet below normal. Fire danger levels remained high across all of South Florida, with forestry officials reporting a near doubling of wildfires in a 4-month period ending in March compared to a similar period last year.","Drier than normal conditions persisted over South Florida in March as seasonal high pressure dominated the region. A few cold fronts brought periods of heavy rain and severe weather, but these were the exception rather than the rule.",20
293252,FAR SOUTH MIAMI-DADE COUNTY (ZONE), ,03/01/2011,0,Drought, , ,0,0,0,0,FL,EST-5, ,49890,Z,174,MFL,0,0,Other Federal Agency, , , , , , , , ,03/31/2011,2359, , , , ,"March rainfall totals were anywhere from 1 to 3 inches below normal across South Florida. This led to a decrease in soil moisture and underground water levels, with most areas at only 10 to 30 percent of water levels. The level of Lake Okeechobee decreased from 12.15 feet at the beginning of March to 11.66 feet by the end of the month, about 2.5 to 3 feet below normal. Fire danger levels remained high across all of South Florida, with forestry officials reporting a near doubling of wildfires in a 4-month period ending in March compared to a similar period last year.","Drier than normal conditions persisted over South Florida in March as seasonal high pressure dominated the region. A few cold fronts brought periods of heavy rain and severe weather, but these were the exception rather than the rule.",21
293228,MIAMI-DADE CO.,MEDLEY,03/10/2011,1203,Thunderstorm Wind,61.00, ,0,0,5000,0,FL,EST-5,MG,49884,C,86,MFL,0,0,Public, , , ,2,WSW,2,WSW,MEDLEY,03/10/2011,1203,25.8191,-80.3441,25.8191,-80.3441,"Wind gust of 70 mph measured near NW 87 Avenue and NW 12 Street in Doral. The squall line passed through the Doral Golf and Country Club, disrupting the WGC-Cadillac Championship golf tournament. Two TV transmission towers were toppled by the high winds, as well as a scoreboard, tents and 17 small trees.","A pre-frontal squall line moved across South Florida during the late morning and midday hours, causing strong wind gusts and minor wind damage along with small hail. A total of 25,000 customers lost power in Miami-Dade, Broward and Palm Beach counties as a result of the storms.",22
293229,MIAMI-DADE CO.,WEST MIAMI,03/10/2011,1209,Thunderstorm Wind,50.00, ,0,0,0,0,FL,EST-5,MG,49884,C,86,MFL,0,0,Mesonet, , , ,1,NE,1,NE,WEST MIAMI,03/10/2011,1209,25.7789,-80.2628,25.7789,-80.2628,"Measured at Miami Fire Rescue Station 10.","A pre-frontal squall line moved across South Florida during the late morning and midday hours, causing strong wind gusts and minor wind damage along with small hail. A total of 25,000 customers lost power in Miami-Dade, Broward and Palm Beach counties as a result of the storms.",23
293223,MIAMI-DADE CO.,MIAMI,03/10/2011,1219,Tornado, ,EF0,0,0,1000,0,FL,EST-5, ,49884,C,86,MFL,0,0,Other Federal Agency, ,3.27,20,1,SSW,3,S,BISCAYNE PARK,03/10/2011,1224,25.7508,-80.2048,25.7335,-80.1559,"NOAA employee reported swirling debris at the intersection of US 1 and Rickenbacker Causeway. A few minutes later, same person observed a funnel touching down on Virginia Key in the vicinity of the MAST Academy. Wind gusts at NOAA/AOML were measured at 53 knots at 12:24 PM as the tornado moved through the area, along with a pressure drop of 2 millibars. Power lines were reported downed in the Alice Wainwright Park area near the intersection of US 1 and Rickenbacker Causeway. No other damage of note was reported.","A pre-frontal squall line moved across South Florida during the late morning and midday hours, causing strong wind gusts and minor wind damage along with small hail. A total of 25,000 customers lost power in Miami-Dade, Broward and Palm Beach counties as a result of the storms.",24
293226,MIAMI-DADE CO.,CORAL GABLES,03/10/2011,1220,Thunderstorm Wind,50.00, ,0,0,2000,0,FL,EST-5,EG,49884,C,86,MFL,0,0,Amateur Radio, , , ,1,NNW,1,NNW,CORAL GABLES,03/10/2011,1220,25.764,-80.254,25.764,-80.254,"Amateur radio reports indicate trees down and construction debris around SW 9th Street and SW 36th Court in Miami.","A pre-frontal squall line moved across South Florida during the late morning and midday hours, causing strong wind gusts and minor wind damage along with small hail. A total of 25,000 customers lost power in Miami-Dade, Broward and Palm Beach counties as a result of the storms.",25
293239,MIAMI-DADE CO.,ALADDIN CITY,03/29/2011,1527,Hail,1.00, ,0,0,0,0,FL,EST-5, ,49889,C,86,MFL,0,0,Broadcast Media, , , ,2,NE,2,NE,ALADDIN CITY,03/29/2011,1527,25.5956,-80.4419,25.5956,-80.4419,"A member of the media relayed reports of dime to quarter-sized hail near the intersection of SW 154th Avenue and Eureka Drive/SW 184th Street.","Moist and unstable air south of a stalled front over central Florida led to strong to severe thunderstorms over South Florida.",26
305299,INLAND MIAMI-DADE (ZONE), ,04/01/2011,0,Drought, , ,0,0,0,0,FL,EST-5, ,51410,Z,73,MFL,0,0,Other Federal Agency, , , , , , , , ,04/30/2011,2359, , , , ,"Below normal rainfall fell over most of South Florida during the month of April. Rainfall amounts ranged from a quarter of an inch to about 1 inch over interior and western sections of the South Florida peninsula, to about 1 to 3 inches on average over the eastern half of the peninsula. This led to the continuation of extreme drought conditions (D3) over the eastern half of the peninsula and severe drought conditions (D2) over most of the western sections of South Florida.||Long term percent of normal rainfall across South Florida since October 2010 ranged from 30 to 50 percent of normal over most areas, except 60 to 75 percent in a few areas along the east coast as well as west of Lake Okeechobee. Underground water levels were in the lowest 10 percent of normal levels along the east coast and 10 to 30 percent of normal over interior and west coast areas.||The level of Lake Okeechobee fell from 12.15 at the beginning of the month to 11.66 by the end of the month. This was about 2.5 feet below normal for April.","A prolonged period of drier than normal conditions continued over South Florida during the month of April.",27
305302,FAR SOUTH MIAMI-DADE COUNTY (ZONE), ,04/01/2011,0,Drought, , ,0,0,0,0,FL,EST-5, ,51410,Z,174,MFL,0,0,Other Federal Agency, , , , , , , , ,04/30/2011,2359, , , , ,"Below normal rainfall fell over most of South Florida during the month of April. Rainfall amounts ranged from a quarter of an inch to about 1 inch over interior and western sections of the South Florida peninsula, to about 1 to 3 inches on average over the eastern half of the peninsula. This led to the continuation of extreme drought conditions (D3) over the eastern half of the peninsula and severe drought conditions (D2) over most of the western sections of South Florida.||Long term percent of normal rainfall across South Florida since October 2010 ranged from 30 to 50 percent of normal over most areas, except 60 to 75 percent in a few areas along the east coast as well as west of Lake Okeechobee. Underground water levels were in the lowest 10 percent of normal levels along the east coast and 10 to 30 percent of normal over interior and west coast areas.||The level of Lake Okeechobee fell from 12.15 at the beginning of the month to 11.66 by the end of the month. This was about 2.5 feet below normal for April.","A prolonged period of drier than normal conditions continued over South Florida during the month of April.",28
305301,COASTAL MIAMI-DADE COUNTY (ZONE), ,04/01/2011,0,Drought, , ,0,0,0,0,FL,EST-5, ,51410,Z,173,MFL,0,0,Other Federal Agency, , , , , , , , ,04/30/2011,2359, , , , ,"Below normal rainfall fell over most of South Florida during the month of April. Rainfall amounts ranged from a quarter of an inch to about 1 inch over interior and western sections of the South Florida peninsula, to about 1 to 3 inches on average over the eastern half of the peninsula. This led to the continuation of extreme drought conditions (D3) over the eastern half of the peninsula and severe drought conditions (D2) over most of the western sections of South Florida.||Long term percent of normal rainfall across South Florida since October 2010 ranged from 30 to 50 percent of normal over most areas, except 60 to 75 percent in a few areas along the east coast as well as west of Lake Okeechobee. Underground water levels were in the lowest 10 percent of normal levels along the east coast and 10 to 30 percent of normal over interior and west coast areas.||The level of Lake Okeechobee fell from 12.15 at the beginning of the month to 11.66 by the end of the month. This was about 2.5 feet below normal for April.","A prolonged period of drier than normal conditions continued over South Florida during the month of April.",29
305300,METROPOLITAN MIAMI-DADE (ZONE), ,04/01/2011,0,Drought, , ,0,0,0,0,FL,EST-5, ,51410,Z,74,MFL,0,0,Other Federal Agency, , , , , , , , ,04/30/2011,2359, , , , ,"Below normal rainfall fell over most of South Florida during the month of April. Rainfall amounts ranged from a quarter of an inch to about 1 inch over interior and western sections of the South Florida peninsula, to about 1 to 3 inches on average over the eastern half of the peninsula. This led to the continuation of extreme drought conditions (D3) over the eastern half of the peninsula and severe drought conditions (D2) over most of the western sections of South Florida.||Long term percent of normal rainfall across South Florida since October 2010 ranged from 30 to 50 percent of normal over most areas, except 60 to 75 percent in a few areas along the east coast as well as west of Lake Okeechobee. Underground water levels were in the lowest 10 percent of normal levels along the east coast and 10 to 30 percent of normal over interior and west coast areas.||The level of Lake Okeechobee fell from 12.15 at the beginning of the month to 11.66 by the end of the month. This was about 2.5 feet below normal for April.","A prolonged period of drier than normal conditions continued over South Florida during the month of April.",30
305008,MIAMI-DADE CO.,MIAMI NEW TAMIAMI AR,04/05/2011,1340,Hail,0.75, ,0,0,0,0,FL,EST-5, ,51361,C,86,MFL,0,0,Public, , , ,3,NNW,3,NNW,MIAMI NEW TAMIAMI AR,04/05/2011,1340,25.6843,-80.4462,25.6843,-80.4462,"Penny-size hail was reported near the intersection of Kendall Drive and SW 157 Ave in West Kendall.","A cold front moved through South Florida during the early evening hours. An area of strong to severe thunderstorms moved through the region preceding the front during the early to mid afternoon. Wind gusts of 45 to 60 mph were reported over most of the area along with small hail as the line moved through the area, resulting in downed power lines and some tree damage. About 17,000 customers in South Florida lost power during the event.",31
305006,MIAMI-DADE CO.,LEISURE CITY,04/05/2011,1406,Funnel Cloud, , ,0,0,0,0,FL,EST-5, ,51361,C,86,MFL,0,0,Other Federal Agency, , , ,2,SSW,0,S,(HST)HOMESTEAD AFB,04/05/2011,1421,25.4508,-80.4385,25.475,-80.3794,"The weather observer at Homestead Air Reserve Base (KHST) reported a funnel cloud approximately 3 to 5 miles to the southwest. Movement was to the northeast along a gust front and the funnel cloud dissipated near the base.","A cold front moved through South Florida during the early evening hours. An area of strong to severe thunderstorms moved through the region preceding the front during the early to mid afternoon. Wind gusts of 45 to 60 mph were reported over most of the area along with small hail as the line moved through the area, resulting in downed power lines and some tree damage. About 17,000 customers in South Florida lost power during the event.",32
305088,MIAMI-DADE CO.,KENDALL,04/29/2011,1415,Hail,1.00, ,0,0,0,0,FL,EST-5, ,51373,C,86,MFL,0,0,Public, , , ,2,NNW,2,NNW,KENDALL,04/29/2011,1415,25.71,-80.33,25.71,-80.33,"A member of the public reported quarter-sized hail near the intersection of SW 70th Street and SW 85th Avenue in Kendall.","Moist and unstable westerly flow over South Florida ahead of an approaching cold front led to strong thunderstorms with hail and heavy rainfall.",33
305093,MIAMI-DADE CO.,CORAL WAY VLG,04/29/2011,1432,Hail,1.00, ,0,0,0,0,FL,EST-5, ,51373,C,86,MFL,0,0,Trained Spotter, , , ,1,N,1,N,CORAL WAY VLG,04/29/2011,1432,25.7578,-80.2998,25.7578,-80.2998,"Dime to quarter-sized hail was observed near the intersection of SW 64th Avenue and SW 14th Street in West Miami.","Moist and unstable westerly flow over South Florida ahead of an approaching cold front led to strong thunderstorms with hail and heavy rainfall.",34
305094,MIAMI-DADE CO.,KENDALL,04/29/2011,1449,Hail,0.88, ,0,0,0,0,FL,EST-5, ,51373,C,86,MFL,0,0,Public, , , ,3,NNW,3,NNW,KENDALL,04/29/2011,1449,25.7166,-80.3355,25.7166,-80.3355,"A member of the public reported nickel-sized hail at the intersection of Miller Road and SW 87th Avenue.","Moist and unstable westerly flow over South Florida ahead of an approaching cold front led to strong thunderstorms with hail and heavy rainfall.",35
